,date,map_name,player_one_race,player_two_race,player_one,player_two,game_length,winner_name,p_one_winner
3430,2020-07-05,Piliers d'or EC,Zerg,Zerg,Denver,Kas,10.34,Denver,1
3431,2020-07-05,Ever Dream LE,Protoss,Protoss,Geralt,TLHarstem,27.22,TLHarstem,0
3432,2020-07-05,Ice and Chrome LE,Protoss,Protoss,Geralt,TLHarstem,15.33,Geralt,1
3433,2020-07-05,Deathaura LE,Protoss,Protoss,Geralt,TLHarstem,16.22,Geralt,1
3434,2020-07-05,Eternal Empire LE,Terran,Terran,HeroMarine,ShaDoWn,15.23,ShaDoWn,0
3435,2020-07-05,Ever Dream LE,Terran,Terran,HeroMarine,ShaDoWn,09.56,HeroMarine,1
3436,2020-07-05,Ice and Chrome LE,Terran,Terran,HeroMarine,ShaDoWn,10.03,HeroMarine,1
3437,2020-07-03,Pillars of Gold LE,Terran,Terran,MarineLorD,SKillous,13.25,SKillous,0
3438,2020-07-03,Eternal Empire LE,Terran,Terran,MarineLorD,SKillous,13.11,SKillous,0
3439,2020-07-01,Ice and Chrome LE,Zerg,Zerg,Serral,SKillous,12.42,Serral,1
3440,2020-07-01,Submarine LE,Zerg,Zerg,Serral,SKillous,08.59,Serral,1
3441,2020-06-30,Eternal Empire LE,Terran,Terran,Ziggy,ShaDoWn,17.46,Ziggy,1
3442,2020-06-30,Pillars of Gold LE,Terran,Terran,Ziggy,ShaDoWn,10.20,ShaDoWn,0
3443,2020-06-28,Ever Dream LE,Protoss,Protoss,ShoWTimE,Spatz,06.58,ShoWTimE,1
3444,2020-06-28,Eternal Empire LE,Protoss,Protoss,ShoWTimE,Spatz,11.14,ShoWTimE,1
3445,2020-07-01,Pillars of Gold LE,Zerg,Zerg,AGOElazer,DnS,15.02,AGOElazer,1
3446,2020-07-01,Ever Dream LE,Zerg,Zerg,AGOElazer,DnS,11.33,AGOElazer,1
3447,2020-06-27,Deathaura LE,Protoss,Protoss,ArT,DnS,11.22,ArT,1
3448,2020-06-27,Ever Dream LE,Protoss,Protoss,DnS,ArT,09.54,DnS,1
3449,2020-06-27,Eternal Empire LE,Protoss,Protoss,ArT,DnS,52.59,ArT,1
3450,2020-06-24,Eternal Empire LE,Protoss,Protoss,ShaDoWn,BratOK,14.32,BratOK,0
3451,2020-06-24,Ever Dream LE,Terran,Terran,BratOK,ShaDoWn,10.58,ShaDoWn,0
3452,2020-06-24,Submarine LE,Protoss,Protoss,ShaDoWn,BratOK,10.51,ShaDoWn,1
3453,2020-07-02,Ice and Chrome LE,Zerg,Zerg,Denver,Spatz,07.00,Denver,1
3454,2020-07-02,Ever Dream LE,Protoss,Protoss,Spatz,Denver,13.12,Denver,0
3455,2020-07-02,Golden Wall LE,Protoss,Protoss,ShaDoWn,Geralt,12.04,ShaDoWn,1
3456,2020-07-02,Ice and Chrome LE,Protoss,Protoss,ShaDoWn,Geralt,21.26,ShaDoWn,1
3457,2020-06-25,Pillars of Gold LE,Zerg,Zerg,Vanya,goblin,08.35,Vanya,1
3458,2020-06-25,Ever Dream LE,Protoss,Protoss,goblin,Vanya,04.37,Vanya,0
3459,2020-07-01,Submarine LE,Terran,Terran,Kas,LiquidClem,18.00,LiquidClem,0
3460,2020-07-01,Ever Dream LE,Terran,Terran,Kas,LiquidClem,09.30,LiquidClem,0
3461,2020-07-02,Eternal Empire LE,Protoss,Protoss,ShoWTimE,Kas,13.39,ShoWTimE,1
3462,2020-07-04,Deathaura LE,Protoss,Protoss,Spatz,Kas,17.22,Spatz,1
3463,2020-07-04,Eternal Empire LE,Terran,Terran,Kas,Spatz,15.04,Kas,1
3464,2020-07-04,Submarine LE,Terran,Terran,Kas,Spatz,13.11,Kas,1
3465,2020-06-24,Ice and Chrome LE,Protoss,Protoss,TLHarstem,liquidthermy,07.49,liquidthermy,0
3466,2020-06-24,Ever Dream LE,Protoss,Protoss,TLHarstem,liquidthermy,09.32,liquidthermy,0
3467,2020-06-30,Ice and Chrome LE,Protoss,Protoss,ShaDoWn,Ziggy,10.19,ShaDoWn,1
3468,2020-06-26,Deathaura LE,Zerg,Zerg,SortOf,Vanya,10.46,Vanya,0
3469,2020-06-26,Ever Dream LE,Zerg,Zerg,Vanya,SortOf,03.31,Vanya,1
3470,2020-06-26,Pillars of Gold LE,Terran,Terran,Kas,BlyOnFire,11.31,Kas,1
3471,2020-06-26,Golden Wall LE,Zerg,Zerg,BlyOnFire,Kas,18.13,BlyOnFire,1
3472,2020-07-05,Eternal Empire LE,Protoss,Protoss,LiquidMaNa,DnS,12.34,LiquidMaNa,1
3473,2020-07-05,Ice and Chrome LE,Protoss,Protoss,LiquidMaNa,DnS,13.32,DnS,0
3474,2020-07-05,Ever Dream LE,Protoss,Protoss,LiquidMaNa,DnS,11.24,DnS,0
3475,2020-06-25,Golden Wall LE,Zerg,Zerg,Reynor,DnS,08.01,Reynor,1
3476,2020-06-25,Eternal Empire LE,Protoss,Protoss,DnS,Reynor,11.34,Reynor,0
3477,2020-06-28,Eternal Empire LE,Zerg,Zerg,Vanya,DnS,08.07,Vanya,1
3478,2020-06-28,Pillars of Gold LE,Zerg,Zerg,Vanya,DnS,10.24,DnS,0
3479,2020-06-28,Deathaura LE,Zerg,Zerg,Vanya,DnS,11.34,Vanya,1
3480,2020-06-27,Ice and Chrome LE,Zerg,Zerg,Reynor,goblin,09.07,Reynor,1
3481,2020-06-27,Submarine LE,Zerg,Zerg,Reynor,goblin,07.23,Reynor,1
3482,2020-07-02,Deathaura LE,Protoss,Protoss,ShoWTimE,Kas,26.50,ShoWTimE,1
3483,2020-07-01,Golden Wall LE,Zerg,Zerg,Lambo,soul,16.36,Lambo,1
3484,2020-07-01,Deathaura LE,Terran,Terran,soul,Lambo,15.00,Lambo,0
3485,2020-07-02,Submarine LE,Terran,Terran,liquidthermy,Ziggy,04.26,liquidthermy,1
3486,2020-07-02,Eternal Empire LE,Terran,Terran,liquidthermy,Ziggy,04.12,liquidthermy,1
3487,2020-06-27,Eternal Empire LE,Terran,Terran,soul,Rail,24.09,soul,1
3488,2020-06-27,Ever Dream LE,Terran,Terran,soul,Rail,14.15,Rail,0
3489,2020-06-27,Pillars of Gold LE,Terran,Terran,soul,Rail,12.04,soul,1
3490,2020-06-25,Eternal Empire LE,Zerg,Zerg,Serral,soul,11.22,Serral,1
